nombre,url,direccion,ciudad,provincia,telefono,productos
Opella,https://ar.prvademecum.com/laboratorio/opella-1002/,Av.Circunvalación y Del Arado,La Matanza Los Tapiales,Bs. As.,,ALLEGRA; ALLEGRA; ALLENASAL; BISOLHELIX; BISOLVON; BISOLVON ADULTOS JARABE NF; BISOLVON COMPOSITUM NF; BUSCAPINA; BUSCAPINA AMPOLLA; BUSCAPINA COMPOSITUM; BUSCAPINA COMPOSITUM N; BUSCAPINA COMPOSITUM N; BUSCAPINA DUO; BUSCAPINA FEM; BUSCAPINA PERLAS
Abbott Nutric ,https://ar.prvademecum.com/laboratorio/abbott-nutric--938/,Ing. Butty 240 Piso 12,C.A.B.A.,,5776-7200 (Líneas rotativas),ALTERNA PEPTIDO; ENSURE; ENSURE ADVANCE; ENSURE ADVANCE LIQUIDO; ENSURE CLINICAL; ENSURE PLUS; GLUCERNA LIQUIDO VAINILLA NF; GLUCERNA POLVO; GLUCERNA POLVO NF; GLUCERNA RTH; GLUCERNA RTH 1.5; JEVITY PLUS; JEVITY RTH; NEPRO AP; OSMOLITE HN RTH
Fresenius Kabi,https://ar.prvademecum.com/laboratorio/fresenius-kabi-623/,Av. Cabildo 2677 Piso 10,Capital,,5093-9000,
Sanofi Health,https://ar.prvademecum.com/laboratorio/sanofi-health-188/,Cuyo 3532,Martinez,Bs. As.,4732-5000,ADACEL; AVAXIM 160U ADULTO; AVAXIM 80U PEDIATRICO; BEYFORTUS; EFLUELDA; HEXAXIM; ISTIVAC; ISTIVAC 4; MENQUADFI; PENTAXIM; STAMARIL; TETRAXIM; TYPHIM VI; VERORAB
Varifarma,https://ar.prvademecum.com/laboratorio/varifarma-421/,Ernesto de las Carreras 2469 (esq. Uruguay),Beccar,Bs. As.,4723-2830/2831,ANASTROZOL VARIFARMA; ANFONAX LIPO; BASALOG; BENDAVAR; BINAP; BIOINSUGEN N (NPH); BIOINSUGEN R; BIOVEN; BOCIPAL; BOZATINIX; BUSULFAN VARIFARMA; C.P.T. 11; CABAZIL; CANITIB; CAPECITABINA VARIFARMA
Richmond,https://ar.prvademecum.com/laboratorio/richmond-245/,Av. Elcano 4938,Capital,,5555-1600 (Líneas rotativas),ACIDO FOLICO RICHMOND; ADDENTA; AMZE; ANTIPLAQ; ARMIXA; BEMUX; BILIP; BOOSTAGEN - 2; CAPECIT; CIDEBIN; CIGANCLOR; DOLOFRIX; DOLOFRIX FORTE; DOLOFRIX TRAM; DONEPES
Beone,https://ar.prvademecum.com/laboratorio/beone-1017/,Arismendi 2441,,Capital federal,11 4522-2574 / 11 4522-2879 / 11 4523-0790 / 11 4523-4815,BRUKINSA
Baliarda,https://ar.prvademecum.com/laboratorio/baliarda-25/,Cochabamba 2525,Capital,,4122-5800,ALERTIAL; ALERTIAL VL; ANDERTIL; AUDIPAX 16; AUDIPAX MULTIDOSIS; AXEPIN; AXIN; AZIBIOTIC 500; BALIARTRIN; BALIARTRIN DUO; BALIARTRIN POTASICO; BALIGLUC 500; BALIGLUC AP 1000; BALIGLUC AP 500; BALIGLUC AP 850
Epuyen,https://ar.prvademecum.com/laboratorio/epuyen-877/,Av. Del Barco Centenera 1884 Esq. Zelarrayan,Pque. Chacabuco C.A.B.A.,,54-11-5192-8538,
Biohope Pharma,https://ar.prvademecum.com/laboratorio/biohope-pharma-1023/,Erezcano 3350,,Capital federal,51993539,SIGNIFOR; SIGNIFOR LAR
Synthon Bago,https://ar.prvademecum.com/laboratorio/synthon-bago-969/,,,,,CATIRA; FIBRONEURINA; FLUNISOL; INMUNOMAS NF; OSIREN MS; POLIMUNOL; ZILOBE
Alef Medical Argentina S.A.,https://ar.prvademecum.com/laboratorio/alef-medical-991/,Fraga 1401,,Capital federal,+54 11 4554 0044,
Combe,https://ar.prvademecum.com/laboratorio/combe-417/,Quirós 2615,C.A.B.A.,,1159217749,
Sanitas,https://ar.prvademecum.com/laboratorio/sanitas-264/,Saladillo 2452,Capital,,4687-3663/1716,ACEITE DE ALMENDRAS EWE; ACEITE DE ARGAN EWE; ACEITE DE JOJOBA EWE; ACEITE DE LAVANDA EWE; ACEITE DE RICINO EWE; ACEITE DE TEA TREE OIL EWE; ACIMED  F; AMOXOL 1000; BICARBONATO DE SODIO EWE; BIOPROLAC; BUDECORT ENEMA; COLIXANE 200; COLIXANE B; COLIXANE DISTEN; CREMA DE CALENDULA EWE
Bago Arcor,https://ar.prvademecum.com/laboratorio/bago-arcor-973/,,,,,SIMPLE CALCIO + VITAMINA D; SIMPLE COLAGENO; SIMPLE COLAGENO HIDROLIZADO; SIMPLE DEFENSAS; SIMPLE DIETA CONTROL; SIMPLE FIBRA; SIMPLE PROTEINA COOK CREAM; SIMPLE PROTEINA SA.ORIG; SIMPLE SACIETY; SIMPLE SACIETY PLUS; SIMPLE VITACAL; SIMPLE VITALIDAD
Haleon Arg,https://ar.prvademecum.com/laboratorio/haleon-arg-624/,Carlos Casares 3690,Victoria,Bs. As.,4725-8900 (Líneas rotativas),ALIKAL; CENTRUM; CENTRUM DEFENSAS; CENTRUM SILVER; IBU EVANOL 600; IBU EVANOL FORTE; IBU EVANOL MAX RAPIDA ACCION; IBU EVANOL PLUS RAPIDA ACCION; IBU EVANOL RAPIDA ACCION; NICOTINELL GUMS; NICOTINELL LOZENGES; NICOTINELL TTS; PARODONTAX COMP. PROT.; UVASAL; VOLTAREN EMULGEL
Amgen,https://ar.prvademecum.com/laboratorio/amgen-975/,Italia 415 Piso 2,Vicente López,Bs. As.,+54 (11) 4014-9200,AMGEVITA; AVSOLA; BEKEMV; BLINCYTO; EVENITY; IMDELLTRA; KANJINTI; KYPROLIS; LUMAKRAS; MVASI; NPLATE; TEPEZZA; VECTIBIX; WEZLANA; XGEVA
Bioderma,https://ar.prvademecum.com/laboratorio/bioderma-672/,Carlos Pellegrini 713 Piso 6,,Capital federal,5218-0810,
Gordon,https://ar.prvademecum.com/laboratorio/gordon-137/,Malvinas Argentinas 3311,Victoria,Bs. As.,+ 54 11 4745 6000,
